planet_name,mass,radius,orbital_period_x,discovered_year,detection_type,star_name,star_distance,star_mass,star_radius,star_age,pl_hostname,pl_letter,orbital_period_y,eccentricity,planet_jup_mass,pl_dens,planet_earth_mass,observatory_name,telescope_name,moons_n,galactic_longitude,galactic_latitude,stellar_gravity
Kepler-359 d,,0.358,77.095691,2014.0,Primary Transit,Kepler-359,,1.07,1.09,,Kepler-359,d,77.095691,,,,,Kepler,0.95 m Kepler Telescope,0.0,75.05888399999999,10.769752,4.43
Kepler-36 b,0.013999999999999999,0.133,13.839889999999999,2012.0,Primary Transit,Kepler-36,,1.113,1.66,6.922999999999999,Kepler-36,b,13.86825,0.0,0.01205,6.26,3.83,Kepler,0.95 m Kepler Telescope,0.0,80.932761,15.102089000000001,4.1
Kepler-36 c,0.0254149,0.3282,16.23855,2012.0,Primary Transit,Kepler-36,,1.113,1.66,6.922999999999999,Kepler-36,c,16.21865,0.0,0.022430000000000002,0.787,7.13,Kepler,0.95 m Kepler Telescope,0.0,80.932761,15.102089000000001,4.1
Kepler-360 b,,0.147,3.289672,2014.0,Primary Transit,Kepler-360,,0.95,1.06,,Kepler-360,b,3.289672,,,,,Kepler,0.95 m Kepler Telescope,0.0,75.29983399999999,16.466618,4.42
Kepler-360 c,,0.187,7.186433999999999,2014.0,Primary Transit,Kepler-360,,0.95,1.06,,Kepler-360,c,7.186433999999999,,,,,Kepler,0.95 m Kepler Telescope,0.0,75.29983399999999,16.466618,4.42
Kepler-361 b,,0.129,8.486616,2014.0,Primary Transit,Kepler-361,,1.07,1.34,,Kepler-361,b,8.486616,,,,,Kepler,0.95 m Kepler Telescope,0.0,80.338027,10.667431,4.25
Kepler-361 c,,0.225,55.188023,2014.0,Primary Transit,Kepler-361,,1.07,1.34,,Kepler-361,c,55.188023,,,,,Kepler,0.95 m Kepler Telescope,0.0,80.338027,10.667431,4.25
Kepler-362 b,,0.079,10.327186,2014.0,Primary Transit,Kepler-362,,0.77,0.72,,Kepler-362,b,10.327186,,,,,Kepler,0.95 m Kepler Telescope,0.0,79.482763,14.078643,4.64
Kepler-362 c,,0.129,37.866281,2014.0,Primary Transit,Kepler-362,,0.77,0.72,,Kepler-362,c,37.866281,,,,,Kepler,0.95 m Kepler Telescope,0.0,79.482763,14.078643,4.64
Kepler-363 b,,0.10300000000000001,3.6145680000000002,2014.0,Primary Transit,Kepler-363,,1.23,1.49,,Kepler-363,b,3.6145680000000002,,,,,Kepler,0.95 m Kepler Telescope,0.0,71.052526,17.283679,4.15
